INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 466.71, 2025-01-01 16:09:19.362223, 2025-01-12 16:09:19.362223, 2024-11-10 00:53:20, 2025-01-30 20:04:56);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 463.21, 2024-12-22 16:09:19.362255, 2025-01-02 16:09:19.362255, 2024-12-01 21:38:55, 2025-02-17 11:02:06);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 542.6, 2024-12-12 16:09:19.362275, 2024-12-26 16:09:19.362275, 2024-11-17 14:47:07, 2024-12-21 03:51:45);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 417.15, 2024-10-30 16:09:19.362294, 2024-11-10 16:09:19.362294, 2025-01-08 21:16:11, 2025-02-09 23:08:45);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 467.92, 2025-01-03 16:09:19.362309, 2025-01-16 16:09:19.362309, 2024-10-22 03:33:39, 2025-02-24 05:40:04);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('dubbelrum', 874.72, 2024-11-14 16:09:19.362324, 2024-11-21 16:09:19.362324, 2024-12-28 04:10:58, 2025-03-03 18:17:38);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('dubbelrum', 724.44, 2024-10-21 16:09:19.362338, 2024-11-02 16:09:19.362338, 2025-02-01 23:48:53, 2025-02-28 07:11:16);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('dubbelrum', 653.78, 2024-11-19 16:09:19.362351, 2024-12-02 16:09:19.362351, 2024-12-23 10:03:50, 2024-12-26 21:44:35);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('familjerum', 1241.02, 2024-12-09 16:09:19.362365, 2024-12-15 16:09:19.362365, 2024-11-11 05:17:43, 2024-12-29 03:20:25);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('enkelrum', 419.87, 2024-11-29 16:09:19.362377, 2024-12-04 16:09:19.362377, 2024-11-02 04:15:08, 2025-02-25 12:20:43);
INSERT INTO rum_pris ('rum_typ_id', 'pris_per_natt', 'pris_start_datum', 'pris_slut_datum', 'start', 'slut') VALUES ('familjerum', 1290.86, 2024-11-09 16:09:19.362391, 2024-11-23 16:09:19.362391, 2025-01-29 21:39:19, 2025-02-25 23:01:19);
