INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 785.7, '2024-02-25 06:13:59', '2024-11-26 08:56:33');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 549.66, '2024-04-16 18:29:14', '2025-08-21 13:48:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 861.89, '2024-04-22 00:15:31', '2025-08-24 01:13:16');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1256.66, '2024-05-27 21:42:09', '2025-02-02 09:26:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1186.96, '2024-06-16 10:06:56', '2024-09-16 02:08:16');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 697.83, '2023-12-21 01:46:59', '2025-09-24 19:41:56');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 529.23, '2024-02-20 02:20:20', '2025-04-22 21:28:12');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 523.79, '2024-01-18 05:48:13', '2025-06-23 22:43:46');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 437.87, '2024-12-11 21:46:29', '2025-08-04 07:26:14');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 660.39, '2024-01-13 16:09:51', '2025-03-18 06:41:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 534.08, '2025-05-15 10:33:29', '2025-10-08 06:23:12');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1081.63, '2025-06-08 03:55:58', '2025-09-06 13:30:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1213.53, '2024-05-12 21:19:56', '2025-07-30 16:57:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 466.28, '2024-05-27 13:35:58', '2025-07-27 01:01:09');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 771.24, '2024-09-25 11:28:45', '2025-08-14 02:48:23');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 923.18, '2024-06-15 15:48:26', '2025-07-16 19:23:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 698.79, '2024-12-28 02:17:35', '2025-04-07 19:46:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1093.37, '2023-10-18 13:27:44', '2024-09-06 14:30:56');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 468.82, '2024-06-24 04:56:28', '2025-08-29 17:54:44');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 478.11, '2023-11-13 05:06:07', '2025-04-23 14:50:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 857.07, '2024-05-14 07:18:23', '2025-07-09 12:16:57');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1206.35, '2024-01-25 13:19:16', '2025-04-23 17:37:24');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1387.28, '2024-10-02 05:04:17', '2025-05-23 07:33:54');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1265.17, '2023-10-29 13:55:54', '2024-11-20 20:01:43');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1146.54, '2023-12-10 15:53:56', '2025-04-06 02:31:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1259.02, '2024-10-03 16:19:50', '2025-04-18 10:33:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 679.78, '2024-03-31 04:41:57', '2025-07-09 10:22:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1228.33, '2023-11-12 03:55:31', '2025-03-14 18:43:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 485.96, '2024-03-24 21:52:25', '2025-07-14 10:22:23');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 493.94, '2025-03-10 14:54:44', '2025-10-01 14:41:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 460.36, '2024-02-01 13:19:10', '2025-06-21 07:01:48');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 431.58, '2024-01-22 08:52:22', '2025-03-17 01:48:51');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 798.2, '2024-10-15 13:19:11', '2025-08-24 03:24:49');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 788.36, '2024-07-27 06:10:25', '2025-06-03 02:31:26');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 457.37, '2024-08-23 06:33:42', '2025-06-29 01:24:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1230.34, '2023-12-18 21:28:29', '2024-12-28 06:05:56');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 464.09, '2024-04-04 07:43:01', '2024-09-30 03:07:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 835.52, '2024-07-16 18:49:43', '2025-09-06 09:35:30');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 788.85, '2024-10-08 06:34:01', '2025-09-30 04:04:13');
