INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 23, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 6, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 18, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 13, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 25, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 3, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 4, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 9, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 13, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 3, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 9, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 1, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 21, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 17, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 15, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 21, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 7, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 16, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 14, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 5, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 22, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 6, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('dubbelrum', 5, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 9, TRUE, FALSE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 20, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('enkelrum', 14, FALSE, TRUE);
INSERT INTO rum (rum_typ_id, personal_id, checkat_in, checkat_ut) VALUES ('familjerum', 10, TRUE, FALSE);
