INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 24, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 19, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 18, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 4, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 8, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 11, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 9, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 11, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 3, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 13, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 5, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 21, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 19, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 12, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 12, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 15, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 15, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 7, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 8, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 24, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 12, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 21, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 5, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 8, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 13, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 8, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 14, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 10, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 7, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 15, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 7, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 16, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 11, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 14, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 7, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 5, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 20, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 22, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 21, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('familjerum', 4, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 3, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 16, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('enkelrum', 6, 'PLACEHOLDER VANINGSPLAN', FALSE, TRUE, 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, checkat_in, checkat_ut, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', TRUE, FALSE, 'checkat_in');
