INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 1, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 16, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 17, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 2, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 5, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 6, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 11, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 18, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 16, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 24, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 1, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 12, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 17, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 11, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 11, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 16, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 13, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 3, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 12, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 23, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 21, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 6, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 2, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 20, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 15, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 25, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 2, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 19, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 10, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 21, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 6, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 23, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 16, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 11, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 10, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 7, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 21, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 11, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 13, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 19, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 23, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 6, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 17, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 1, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 25, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 19, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 7, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 19, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 1, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 20, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 17, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 12, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 10, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('dubbelrum', 22, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 14, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 8, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 4, 'PLACEHOLDER VANINGSPLAN', 'checkat_in');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('familjerum', 6, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
INSERT INTO rum (rum_typ_id, personal_id, vaningsplan, status) VALUES ('enkelrum', 20, 'PLACEHOLDER VANINGSPLAN', 'checkat_ut');
