INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (18, 25, 1, 3, 9, NULL, 10, '2025-07-11 02:34:35', 1, '2025-07-20', '2025-08-03');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (32, 20, 15, 8, 8, 2, NULL, '2025-09-05 07:01:55', 1, '2025-09-19', '2025-09-21');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (41, 18, 33, 1, 3, 2, NULL, '2025-09-20 06:17:22', 3, '2025-09-26', '2025-10-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (34, 18, 8, 5, 2, NULL, 11, '2025-07-25 17:19:10', 3, '2025-08-10', '2025-08-24');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (47, 39, 2, 11, 9, 3, NULL, '2025-05-26 13:33:28', 1, '2025-05-29', '2025-06-17');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (37, 13, 29, 1, 1, 3, NULL, '2025-04-21 07:00:19', 3, '2025-04-28', '2025-05-06');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (32, 11, 15, 7, 1, 3, NULL, '2025-06-04 09:47:06', 1, '2025-06-19', '2025-07-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (37, 34, 22, 6, 7, NULL, 12, '2025-05-03 05:05:29', 3, '2025-05-14', '2025-06-04');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (46, 30, 26, 7, 5, NULL, 13, '2025-07-10 20:16:24', 3, '2025-07-23', '2025-08-22');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (30, 46, 28, 7, 9, 2, NULL, '2025-08-10 09:04:03', 3, '2025-08-19', '2025-09-02');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (16, 42, 5, 11, 11, NULL, 14, '2025-09-15 11:58:24', 3, '2025-09-23', '2025-10-07');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (15, 4, 36, 3, 8, NULL, 15, '2025-07-12 05:21:03', 3, '2025-07-16', '2025-07-31');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (6, 4, 43, 11, 9, NULL, 16, '2025-07-04 08:40:20', 1, '2025-07-10', '2025-08-09');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (5, 48, 21, 2, 6, NULL, 17, '2024-12-23 08:19:30', 1, '2025-01-02', '2025-01-12');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (37, 3, 16, 9, 10, NULL, 18, '2025-04-28 21:55:41', 3, '2025-05-06', '2025-05-27');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (26, 16, 46, 2, 6, NULL, 19, '2025-08-18 16:02:06', 1, '2025-09-14', '2025-09-20');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (18, 49, 16, 7, 8, NULL, 20, '2025-04-29 12:24:06', 3, '2025-05-20', '2025-05-30');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (8, 11, 46, 9, 12, 1, NULL, '2025-06-18 14:48:00', 2, '2025-07-05', '2025-07-18');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (1, 17, 46, 10, 2, NULL, 21, '2025-08-15 19:27:49', 2, '2025-09-13', '2025-09-20');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (15, 40, 17, 8, 5, NULL, 22, '2025-09-06 08:33:14', 2, '2025-09-22', '2025-10-06');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (40, 37, 24, 1, 12, NULL, 23, '2025-07-22 08:33:16', 1, '2025-07-27', '2025-08-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (3, 30, 43, 1, 9, NULL, 24, '2025-07-22 06:43:39', 1, '2025-08-01', '2025-08-23');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (38, 5, 25, 1, 5, NULL, 25, '2025-03-28 17:02:07', 4, '2025-04-06', '2025-04-23');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (47, 31, 26, 6, 6, NULL, 26, '2025-05-25 21:03:54', 4, '2025-05-26', '2025-06-04');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (49, 29, 17, 4, 11, NULL, 27, '2025-04-30 07:20:43', 3, '2025-05-15', '2025-05-22');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (40, 41, 33, 8, 4, NULL, 28, '2025-06-30 22:51:29', 1, '2025-07-13', '2025-07-30');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (38, 16, 9, 8, 10, NULL, 29, '2025-08-03 19:40:50', 4, '2025-08-04', '2025-08-22');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (40, 13, 12, 3, 5, NULL, 30, '2025-09-04 17:44:12', 2, '2025-09-19', '2025-10-16');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (43, 15, 29, 2, 5, NULL, 31, '2025-06-23 19:49:17', 1, '2025-07-01', '2025-07-21');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (26, 2, 36, 5, 4, NULL, 32, '2025-04-11 12:22:03', 2, '2025-04-28', '2025-05-03');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (15, 7, 4, 7, 10, NULL, 33, '2025-09-04 23:33:20', 3, '2025-09-17', '2025-10-04');
