INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, 5, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 4, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 5, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 1, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 3, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 7, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 3, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, 4, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, 3, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, 1, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, 3, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
