INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 9, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 9, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, 9, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 6, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, 5, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 1, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 10, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 3, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, 1, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
