INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, 12, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 7, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, 3, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 12, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, 11, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 3, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 5, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, 4, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 12, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, 4, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, 8, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 3, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'kommande');
