INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, 2, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, 3, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 4, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 5, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 6, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 7, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, 8, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, 10, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 11, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 12, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, 1, 'kommande');
